id,name,city,website,email,contactPhone,address,studentCount,tuitionRange,hasDormitory,hasGrants,hasMilitaryDepartment,logoUrl,description,majors,specialtyCodes,passingScore,applicationDeadline,requirements
1,Некоммерческое акционерное общество «Евразийский национальный университет имени Л.Н. Гумилева»,Астана,https://enu.kz,enu@enu.kz,8 7172 70 95 00,"010000, г.Астана, улица Қаныш Сәтбаев, дом № 2",11197,1 350 000 - 1 600 000 тг/год,true,true,,,"Один из ведущих национальных университетов Казахстана. Основан в 1996 году. Предлагает более 100 образовательных программ бакалавриата, магистратуры и докторантуры.",,,50,15-25 Июля,ЕНТ
10,Некоммерческое акционерное общество «Казахский национальный женский педагогический университет»,Алматы,https://qyzpu.edu.kz,info@qyzpu.edu.kz,8 7272 33 18 36,"050000, г.Алматы, улица Гоголя, дом № 114",7841,500 000 - 1 000 000 тг/год,true,true,,,"Единственный женский педагогический университет в Центральной Азии. Специализация: педагогика, психология, филология, естественные науки.",,,50,15-25 Июля,ЕНТ
100,Учреждение «Международный Таразский инновационный университет имени Шерхана Муртазы»,Жамбылская область,https://tiiu.edu.kz,info@tiiu.edu.kz,8 7262 54 11 26,"080000, Жамбылская область, г.Тараз, улица Желтоксан, здание № 69Б",5356,500 000 - 1 000 000 тг/год,true,true,,,"Международный Таразский инновационный университет. IT, инженерия, экономика, педагогика.",,,50,15-25 Июля,ЕНТ
101,Частное высшее профессиональное образовательное учреждение «Западно-Казахстанский инновационно-технологический университет»,Западно-Казахстанская область,https://wkitu.edu.kz,info@wkitu.edu.kz,8 7112 50 99 90,"090000, Западно-Казахстанская область, г.Уральск, проспект Нурсултана Назарбаева, дом № 194",2377,500 000 - 900 000 тг/год,false,true,,,"Западно-Казахстанский инновационно-технологический университет в Уральске. IT, инженерия, экономика.",,,50,15-25 Июля,ЕНТ
102,Негосударственное учреждение образования «Казахстанский университет инновационных и телекоммуникационных систем»,Западно-Казахстанская область,https://kuits.edu.kz,info@kuits.edu.kz,8 705 387 88 82,"090000, Западно-Казахстанская область, г.Уральск, улица М.МАМЕТОВОЙ, дом № 81",281,400 000 - 800 000 тг/год,false,true,,,Казахстанский университет инновационных и телекоммуникационных систем в Уральске.,,,50,15-25 Июля,ЕНТ
103,Товарищество с ограниченной ответственностью «Astana IT University»,Астана,https://astanait.edu.kz,info@astanait.edu.kz,8 7172 64 57 16,"010000, г.Астана, Проспект Мангилик Ел, дом № 55/11",6909,2 500 000 тг/год,true,true,,,"Ведущий IT-университет Казахстана. Специальности: Computer Science, Software Engineering, Data Science, Cybersecurity, IT Management.",,,50,15-25 Июля,ЕНТ
104,Товарищество с ограниченной ответственностью «Международный университет «Астана»,Астана,https://aiu.edu.kz,info@aiu.edu.kz,8 7172 24 36 68,"010000, г.Астана, Проспект Қабанбай Батыра, дом № 8",485,1 500 000 - 2 500 000 тг/год,true,true,,,"Международный университет «Астана». Бизнес, IT, право, международные отношения. Программы на английском.",,,50,15-25 Июля,ЕНТ
105,Некоммерческое акционерное общество «Международный университет туризма и гостеприимства»,Туркестанская область,https://iuth.edu.kz,info@iuth.edu.kz,8 7253 35 87 16,"161200, Туркестанская область, г.Туркестан, улица Рабига Сұлтан Бегим, дом № 14А",2558,500 000 - 1 000 000 тг/год,true,true,,,"Международный университет туризма и гостеприимства в Туркестане. Туризм, гостиничный бизнес, сервис.",,,50,15-25 Июля,ЕНТ
106,Акционерное общество «ALT университет имени Мухамеджана Тынышпаева»,Алматы,https://alt.edu.kz,info@alt.edu.kz,8 707 888 19 31,"050012, г.Алматы, улица Шевченко, дом № 97",765,600 000 - 1 200 000 тг/год,false,true,,,"ALT университет в Алматы. Транспорт, логистика, строительство, IT, экономика.",,,50,15-25 Июля,ЕНТ
107,Товарищество с ограниченной ответственностью «Казахский национальный университет спорта»,Астана,https://kaznus.edu.kz,info@kaznus.edu.kz,8 700 957 00 68,"010000, г.Астана, Проспект Мангилик Ел, В2.2",73,800 000 - 1 500 000 тг/год,true,true,,,"Казахский национальный университет спорта в Астане. Физкультура, спорт, спортивный менеджмент.",,,50,15-25 Июля,ЕНТ
108,Учреждение «Костанайский социально-технический университет имени академика Зулхарнай Алдамжар»,Костанайская область,https://kstu-kostanay.edu.kz,info@kstu-kostanay.edu.kz,8 7142 55 41 42,"110000, Костанайская область, г.Костанай, улица Кобыланды батыра, дом № 27",40,400 000 - 700 000 тг/год,false,true,,,"Костанайский социально-технический университет. IT, экономика, юриспруденция, педагогика.",,,50,15-25 Июля,ЕНТ
109,Товарищество с ограниченной ответственностью «Кызылординский Университет «Болашак»,Кызылординская область,https://bolashaq-kz.edu.kz,info@bolashaq-kz.edu.kz,8 7242 30 01 65,"120000, Кызылординская область, г.Кызылорда, Микрорайон ЛЕВЫЙ БЕРЕГ, здание № 115",144,400 000 - 700 000 тг/год,false,true,,,"Кызылординский университет «Болашак». Экономика, юриспруденция, педагогика, IT.",,,50,15-25 Июля,ЕНТ
11,Некоммерческое акционерное общество «Жетысуский университет имени Ильяса Жансугурова»,область Жетісу,https://zhetysu.edu.kz,info@zhetysu.edu.kz,8 7282 22 21 94,"040009, область Жетісу, г.Талдыкорган, улица И.Жансугурова, дом № 187А",5082,450 000 - 900 000 тг/год,true,true,,,"Региональный университет в Талдыкоргане. Специальности: педагогика, гуманитарные и естественные науки, экономика, право, инженерия.",,,50,15-25 Июля,ЕНТ
110,Некоммерческое акционерное общество «Казахский национальный медицинский университет имени С. Д. Асфендиярова»,Алматы,https://kaznmu.kz,info@kaznmu.kz,8 7273 38 70 90,"050012, г.Алматы, улица Толе би, дом № 94",60,1 500 000 - 3 000 000 тг/год,true,true,,,"Крупнейший медицинский вуз Казахстана. Общая медицина, стоматология, фармация, общественное здравоохранение.",,,50,15-25 Июля,ЕНТ
111,Некоммерческое акционерное общество «Западно-Казахстанский медицинский университет имени Марата Оспанова»,Актюбинская область,https://zkmu.edu.kz,info@zkmu.edu.kz,8 7132 56 34 25,"030019, Актюбинская область, г.Актобе, улица Маресьева, дом № 68",48,1 200 000 - 2 000 000 тг/год,true,true,,,"Западно-Казахстанский медицинский университет в Актобе. Общая медицина, стоматология, педиатрия.",,,50,15-25 Июля,ЕНТ
112,Некоммерческое акционерное общество «Медицинский университет Семей»,область Абай,https://semeymeduniversity.kz,info@semeymeduniversity.kz,8 7222 56 97 55 (1013),"071400, область Абай, г.Семей, улица Абая Кунанбаева, дом № 103",192,1 000 000 - 1 800 000 тг/год,true,true,,,"Медицинский университет Семей. Общая медицина, стоматология, общественное здравоохранение.",,,50,15-25 Июля,ЕНТ
113,Некоммерческое акционерное общество «Карагандинский медицинский университет»,Карагандинская область,https://qmu.edu.kz,info@qmu.edu.kz,8 7212 50 39 30,"100008, Карагандинская область, г.Караганда, улица Гоголя, дом № 40",710,1 200 000 - 2 200 000 тг/год,true,true,,,"Карагандинский медицинский университет. Общая медицина, стоматология, фармация, общественное здравоохранение.",,,50,15-25 Июля,ЕНТ
114,Акционерное общество «Южно-Казахстанская медицинская академия»,Шымкент,https://skma.edu.kz,info@skma.edu.kz,8 7252 39 57 57 (1015),"160000, г.Шымкент, ПЛОЩАДЬ АЛЬ-ФАРАБИ, дом № 1",101,1 000 000 - 1 800 000 тг/год,true,true,,,"Южно-Казахстанская медицинская академия в Шымкенте. Общая медицина, стоматология, фармация.",,,50,15-25 Июля,ЕНТ
115,Некоммерческое Акционерное Общество «Медицинский университет Астана»,Астана,https://amu.edu.kz,info@amu.edu.kz,8 7172 53 94 24,"010000, г.Астана, улица Бейбітшілік, дом № 49а",0,1 500 000 - 2 800 000 тг/год,true,true,,,"Медицинский университет Астана. Общая медицина, стоматология, фармация, сестринское дело.",,,50,15-25 Июля,ЕНТ
116,Негосударственное учреждение образования «Казахстанско-Российский медицинский университет»,Алматы,https://krmu.edu.kz,info@krmu.edu.kz,8 7272 50 83 75,"050004, г.Алматы, улица ТОРЕКУЛОВА, 71",655,1 500 000 - 2 500 000 тг/год,false,true,,,Казахстанско-Российский медицинский университет в Алматы. Совместные программы с российскими вузами.,,,50,15-25 Июля,ЕНТ
117,Товарищество с ограниченной ответственностью «Казахстанский медицинский университет «ВШОЗ»,Алматы,https://vshoz.edu.kz,info@vshoz.edu.kz,8 7273 37 80 32,"050060, г.Алматы, УЛИЦА УТЕПОВА, дом № 19А",84,1 800 000 - 2 500 000 тг/год,false,true,,,"Казахстанский медицинский университет «ВШОЗ». Общественное здравоохранение, медицина, менеджмент здравоохранения.",,,50,15-25 Июля,ЕНТ
118,РГКП «Академия государственного управления при Президенте Республики Казахстан»,Астана,https://apa.kz,info@apa.kz,8 7172 75 30 23,"010000, г.Астана, АБАЯ, дом № 33а",0,Бюджет / 1 500 000 - 2 500 000 тг/год,true,true,,,"Академия государственного управления при Президенте РК. Госуправление, право, экономика, дипломатия.",,,50,15-25 Июля,ЕНТ
119,Товарищество с ограниченной ответственностью «Иностранное учебное заведение «Coventry Kazakhstan»,Астана,https://coventry.kz,info@coventry.kz,8 700 317 33 33 ,"г.Астана, Коргалжынское шоссе, здание 13А",54,3 000 000 - 5 000 000 тг/год,false,true,,,"Coventry Kazakhstan — филиал британского Coventry University в Астане. Бизнес, IT. Обучение на английском.",,,50,15-25 Июля,ЕНТ
12,Некоммерческое акционерное общество «Актюбинский региональный университет имени К. Жубанова»,Актюбинская область,https://arsu.edu.kz,info@arsu.edu.kz,8 7132 56 83 80,"030000, Актюбинская область, г.Актобе, Проспект Алии Молдагуловой, дом № 34",23804,450 000 - 1 000 000 тг/год,true,true,,,"Крупнейший университет Актюбинской области. Более 70 образовательных программ: педагогика, медицина, инженерия, IT, экономика.",,,50,15-25 Июля,ЕНТ
120,Филиал федерального государственного автономного образовательного учреждения высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина» в городе Атырау,Атырауская область,https://gubkin.kz,info@gubkin.kz,8 7122 76 60 33,"060027, Атырауская область, г.Атырау, улица Мұса Баймуханова, дом 45а",84,1 000 000 - 1 500 000 тг/год,true,true,,,"Филиал РГУ нефти и газа им. Губкина в Атырау. Нефтегазовое дело, геология, экология.",,,50,15-25 Июля,ЕНТ
121,Некоммерческое акционерное общество «Казахский национальный университет водного хозяйства и ирригации»,Жамбылская область,https://kazniivh.kz,info@kazniivh.kz,8 7262 50 50 10,"080000, Жамбылская область, г.Тараз, улица Каныша Сатбаева, 28",31,400 000 - 800 000 тг/год,true,true,,,"Казахский национальный университет водного хозяйства в Таразе. Водные ресурсы, ирригация, экология.",,,50,15-25 Июля,ЕНТ
122,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский химико-технологический университет имени Д.И. Менделеева» в городе Тараз,Жамбылская область,https://rctu.kz,info@rctu.kz,8 701 111 25 81,"080000, Жамбылская область, г.Тараз, Проспект Толе би, строение № 62",71,800 000 - 1 200 000 тг/год,false,true,,,"Филиал РХТУ им. Менделеева в Таразе. Химическая технология, фармация, биотехнология.",,,50,15-25 Июля,ЕНТ
123,Филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский ядерный университет «МИФИ» в городе Алматы,Алматы,https://mephi.kz,info@mephi.kz,8 7273 77 31 06,"050040, г.Алматы, Проспект Аль-Фараби, дом № 71",69,1 000 000 - 1 500 000 тг/год,false,true,,,"Филиал МИФИ в Алматы. Ядерная физика, IT, математика, инженерия.",,,50,15-25 Июля,ЕНТ
124,Республиканское государственное учреждение «Академия управления Министерства внутренних дел Республики Казахстан»,Астана,https://amvd.edu.kz,,8 7172 57 01 80,"010000, г.Астана, Мангилик Ел, дом 55/4",40,Бюджет (бесплатно),true,true,,,Академия управления МВД в Астане. Подготовка руководящих кадров для органов внутренних дел.,,,50,15-25 Июля,ЕНТ
125,Казахстанский филиал Федерального государственного автономного образовательного учреждения высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»,Астана,https://mgimo.kz,info@mgimo.kz,8 7172 70 94 54,"010000, г.Астана, улица Қаныш Сәтбаев, дом № 2",80,2 500 000 - 4 000 000 тг/год,false,true,,,"Филиал МГИМО в Астане. Международные отношения, дипломатия, мировая экономика, право.",,,50,15-25 Июля,ЕНТ
126,Филиал «Международный Университет Анхальт в Казахстане» Университета прикладных наук Анхальт,Алматы,https://anhalt.kz,info@anhalt.kz,8 701 723 16 35,"050013, г.Алматы, улица Байтурсынулы, дом № 126/1",0,2 000 000 - 3 500 000 тг/год,false,true,,,"Филиал университета Анхальт в Алматы. Архитектура, дизайн, IT, бизнес. Обучение на немецком/английском.",,,50,15-25 Июля,ЕНТ
127,Товарищество с ограниченной ответственностью «Woosong University Kaxakhstan»,Туркестанская область,https://woosong.kz,info@woosong.kz,8 776 046 68 53,"161200, Туркестанская область, г.Туркестан, проспект Б. Саттарханова, 60",0,1 500 000 - 2 500 000 тг/год,true,true,,,"Woosong University Kazakhstan в Туркестане. Филиал южнокорейского университета. IT, бизнес, кулинарное искусство.",,,50,15-25 Июля,ЕНТ
13,Некоммерческое акционерное общество «Кокшетауский университет имени Ш.Уалиханова»,Акмолинская область,https://shokan.edu.kz,info@shokan.edu.kz,8 7162 25 55 83,"020000, Акмолинская область, г.Кокшетау, улица Абая, дом № 76",1369,400 000 - 800 000 тг/год,true,true,,,"Региональный университет в Кокшетау. Специальности: педагогика, аграрные науки, инженерия, гуманитарные науки, экономика.",,,50,15-25 Июля,ЕНТ
14,Некоммерческое акционерное общество «Атырауский университет имени Халела Досмухамедова»,Атырауская область,https://asu.edu.kz,kense@asu.edu.kz,8 7122 27 63 23,"060011, Атырауская область, г.Атырау, Проспект Студенттер, дом № 1",5020,450 000 - 900 000 тг/год,true,true,,,"Ведущий вуз Атырауской области. Направления: нефтегазовое дело, педагогика, гуманитарные науки, экономика, естественные науки.",,,50,15-25 Июля,ЕНТ
15,Некоммерческое акционерное общество «Атырауский университет нефти и газа имени Сафи Утебаева»,Атырауская область,https://aogu.edu.kz,info@aogu.edu.kz,8 7122 76 60 33,"060027, Атырауская область, г.Атырау, улица Мұса Баймұханов, дом № 45А",6563,500 000 - 1 200 000 тг/год,true,true,,,"Университет нефти и газа в Атырау. Специализация: нефтегазовая инженерия, химическая технология, экология, IT.",,,50,15-25 Июля,ЕНТ
16,Некоммерческое акционерное общество «Восточно-Казахстанский университет имени Сарсена Аманжолова»,Восточно-Казахстанская область,https://vku.edu.kz,info@vku.edu.kz,8 7232 24 14 71,"070020, Восточно-Казахстанская область, г.Усть-Каменогорск, улица 30-й Гвардейской Дивизии, дом № 34",1917,450 000 - 900 000 тг/год,true,true,,,"Университет в Усть-Каменогорске. Педагогика, филология, история, естественные науки, искусство, экономика.",,,50,15-25 Июля,ЕНТ
17,Некоммерческое акционерное общество «Восточно-Казахстанский технический университет имени Д. Серикбаева»,Восточно-Казахстанская область,https://ektu.kz,info@ektu.kz,8 7232 54 03 77,"070010, Восточно-Казахстанская область, г.УстьКаменогорск, улица Серикбаева, дом № 19",1918,500 000 - 1 100 000 тг/год,true,true,,,"Технический вуз ВКО. Специализация: горное дело, металлургия, машиностроение, IT, строительство, энергетика.",,,50,15-25 Июля,ЕНТ
18,Некоммерческое акционерное общество «Шәкәрім университет»,область Абай,https://shakarim.edu.kz,info@shakarim.edu.kz,8 7222 31 31 75,"071410, область Абай, г.Семей, улица Глинки, дом № 20",4543,450 000 - 900 000 тг/год,true,true,,,"Университет в Семее. Направления: ветеринария, пищевая промышленность, педагогика, инженерия, IT, экономика.",,,50,15-25 Июля,ЕНТ
19,Некоммерческое акционерное общество «Таразский университет имени М.Х. Дулати»,Жамбылская область,https://dulaty.edu.kz,talapker@dulaty.kz,8 707 043 00 58,"080000, Жамбылская область, г.Тараз, улица Ыбырайыма Сулейменова, дом № 13",3402,450 000 - 1 000 000 тг/год,true,true,,,"Крупнейший вуз Жамбылской области. Инженерия, IT, педагогика, сельское хозяйство, экономика. Более 80 специальностей.",,,50,15-25 Июля,ЕНТ
